"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"451","TWrex-diagnose","tuberculosis","289","301","PPD","147","150","Sixteen of the reagents were new tuberculins prepared from extracts of living mycobacteria disrupted by ultrasonic disintegration and the last was PPD, RT23.The effect that tuberculosis exerted on the delayed-type skin test response to these antigens was assessed by comparing results for tuberculosis patients with those for Tuberculin positive and Tuberculin negative control populations"
"452","TWrex-diagnose","pituitary","34","43","thyrotropin","141","152","Dynamic tests of the hypothalamic-pituitary axis included growth hormone releasing hormone (GHRH), gonadotropin releasing hormone (GnRH) and thyrotropin releasing hormone (TRH) stimulations with measurements of serum growth hormone (GH), follicle stimulating hormone (FSH), luteinizing hormone (LH), thyrotropin (TSH) and prolactin (PRL) responses"
"453","TWrex-diagnose","tuberculosis","40","52","tuberculin","60","70","The most common test to identify latent tuberculosis is the tuberculin skin test that detects T cell responses of delayed type hypersensitivity type IV"
"454","TWrex-diagnose","tuberculosis","180","192","PPD","93","96","The tuberculin tine (old tuberculin) and the Mantoux (stabilised purified protein derivative-PPD) tests were compared by using them in two simultaneous skin tests on patients with tuberculosis"
"455","TWrex-diagnose","infection","290","299","test","192","196","The aims of this study were to evaluate the sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV) and diagnostic accuracy of a rapid serum and whole-blood test, Quick Vue One-Step H. pylori test (Quidel Corporation) for detection of Helicobacter pylori infection"
"456","TWrex-diagnose","tuberculosis","187","199","PPD","253","256","We studied 57 infants (40 boys, 17 girls) who were diagnosed as tuberculosis by isolation of Mycobacterium tuberculosis or combination of family contact, radiographic findings suggesting tuberculosis, and positive reaction of 5 mm or more induration to PPD tuberculin"
"457","TWrex-diagnose","tuberculosis","300","312","PPD","4","7","The PPD-based IFN-gamma test was very effective in differentiating animals vaccinated against Johne's disease that were skin-test positive from those with bovine tuberculosis, and the use of PPD or specific mycobacterial antigens minimised the number of false positive reactions in animals with skin tuberculosis"
"458","TWrex-diagnose","episode","249","256","dexamethasone","474","487","When sleep polygraphic variables, neuroendocrine parameters (dexamethasone suppression and thyrotropin-releasing hormone tests), and various clinical variables (unipolar/bipolar status, psychotic/nonpsychotic subtype, and severity of the depressive episode) were examined, statistically significant differences between endogenous and nonendogenous patients emerged for three variables: the thyroid-stimulating hormone response to the thyrotropin-releasing hormone test, the dexamethasone suppression test response at 16:00 h, and the percentage of time awake during the night"
"459","TWrex-diagnose","bronchial hyperresponsiveness","161","190","methacholine","89","101","This study was carried out to compare bronchial responses to inhaled propranolol (P) and methacholine (M) in a group of asthmatic subjects with mild to moderate bronchial hyperresponsiveness to M; to determine the short term reproducibility of bronchial response to propranolol; and to examine the shape of dose-response curve to P relative to that of M. Doses of M and P were given in mumoles and bronchial responses to both agents were expressed as the provocative dose that induced a 20 percent fall in FEV1 (PD20 FEV1"
"460","TWrex-diagnose","hyperresponsiveness","112","131","methacholine","135","147","All subjects complained of asthmatic symptoms at diagnosis, and underwent measurement of non-specific bronchial hyperresponsiveness to methacholine, skin prick tests for common allergens, PEF monitoring during 2 weeks at work, specific bronchial challenge (SBC) test with bleaching dust, and assessment of airway inflammation by induced sputum technique"
"461","TWrex-diagnose","TBC","69","72","PPD","98","101","By multiple-comparison analyses, the T CD4+ lymphocyte number of the TBC group was lower than the PPD- group (P"
"462","TWrex-diagnose","tuberculosis","0","12","tuberculin","44","54","Tuberculosis infection, as estimated by the tuberculin test, T-SPOT.TB test, and expert physician panel, was detected in 12.8%, 35.5, and 26.1 of patients respectively"
"463","TWrex-diagnose","Cushing","266","275","dexamethasone","103","116","The 4 patients who were unresponsive to both tests did not show any further inhibition after high-dose dexamethasone administration, had low plasma ACTH levels and showed impaired or absent responses to the CRH test: they were diagnosed as affected with preclinical Cushing's syndrome"
"464","TWrex-diagnose","TB","220","222","PPD","82","85","Whilst the intradermal injection of partially purified derivatives of tuberculin (PPD) represents the classic test assessing the delayed type hypersensitivity (DTH) response used in both humans and cattle for diagnosing TB, it has been suggested that the test may modulate host CMI responses"
"465","TWrex-diagnose","aspergillosis","188","201","fumigatus","15","24","An Aspergillus fumigatus immunodiffusion test was performed biweekly for one year on 80 hospitalized patients with acute leukemia to determine if serologic conversion accompanied clinical aspergillosis"
