"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"851","TWrex-prevent","ulcer","81","86","ranitidine","12","22","We compared ranitidine and cimetidine in maintenance therapy to prevent duodenal ulcer recurrence over a period of 24 months"
"852","TWrex-prevent","hot flash","189","200","estrogen","147","155","Several areas of clinical relevance are described, including the effects of discontinuing combined hormone therapy (estrogen plus progesterone) or estrogen-only therapy, the possibility of hot flashes continuing for many years after menopause, and the link between hot flashes and depression"
"853","TWrex-prevent","folate deficiency","126","143","folinic acid","98","110","In order to evaluate the efficacy of oral administration of a pharmacological dose of folic or of folinic acid to prevent the folate deficiency in patients with inflammatory bowel disease (IBD) treated with salicylazosulfapyridine (SASP) (1g twice daily at meal times), two groups of 15 patients with IBD received 15 mg/day of folic or folinic acid for one month"
"854","TWrex-prevent","infarction","219","229","acid","196","200","In addition, they are routinely prescribed for the prevention of gastrointestinal bleeding in patients receiving a dual antiplatelet therapy consisting of clopidogrel and aspirin (acetylsalicylic acid) after myocardial infarction or percutaneous coronary intervention and stenting"
"855","TWrex-prevent","louse","57","61","permethrin","65","75","The poor efficacy of Nix confirms the resistance of head lice to permethrin in south Florida"
"856","TWrex-prevent","gastric ulcer","156","170","ranitidine","35","45","In a direct comparative trial with ranitidine, misoprostol (200 micrograms qid) was significantly more effective than ranitidine (150 mg bid) in preventing gastric ulcers in chronic NSAID users"
"857","TWrex-prevent","unstable angina","278","293","eptifibatide","167","179","We compared ex vivo platelet function by both standard light transmission aggregometry and rapid platelet function assay during and after administration of abciximab, eptifibatide, or tirofiban in approved dose regimens on a randomized basis at the time of PCI in patients with unstable angina pectoris"
"858","TWrex-prevent","ulcer","51","57","ranitidine","18","28","The inactivity of ranitidine in preventing gastric ulcers indicates that the pathogenesis of NSAID-induced gastric ulcers is not related to gastric acid"
"859","TWrex-prevent","arrhythmia","65","76","agent","212","218","Bretylium tosylate is used to treat life-threatening ventricular arrhythmias, principally ventricular fibrillation and ventricular tachycardia, that have not responded to treatment with first-line antiarrhythmic agents"
"860","TWrex-prevent","gerd","84","88","omeprazole","216","226","While antacids and histamine H(2)-receptor antagonists have a role in treating mild GERD, effective relief of many cases of oesophagitis is usually only achieved by using proton-pump inhibitors such as lansoprazole, omeprazole and rabeprazole"
"861","TWrex-prevent","fever","186","191","benzathine penicillin g","73","96","Based on the pharmacokinetic profiles, it is suggested that 1,200,000 IU benzathine penicillin G given every 4 weeks is an appropriate regimen for preventing the recurrence of rheumatic fever in Thai adults"
"862","TWrex-prevent","malaria","70","77","antimalarial drug","14","31","The spread of antimalarial drug resistance has major consequences for malaria control in tropical Africa"
"863","TWrex-prevent","postmenopausal osteoporosis","218","245","risedronate","94","105","As antiresorptive agents, oral and intravenous bisphosphonates such as alendronate (Fosamax), risedronate (Actonel), ibandronate (Boniva), pamidronate (Aredia), and zoledronic acid (Zometa) have efficacy in preventing postmenopausal osteoporosis, cancer treatment-related bone loss, or skeletal complications of metastatic disease"
"864","TWrex-prevent","neutropenia","140","151","amphotericin","77","89","Moreover, the new agents are active against some fungi that are resistant to amphotericin B, may have a role in the management of fever and neutropenia, and provide exciting options for combination antifungal therapy"
"865","TWrex-prevent","ventricular tachycardia","22","45","disopyramide","169","181","Ninety-eight cases of ventricular tachycardia (VT) were studied using clinical electrophysiological (EP)-pharmacological assessment to compare the efficacy of class IA (disopyramide-DP, procainamide-PA) and class IB (mexiletine-Mex, Lidocaine-Lid, aprindine-AP) agents available in Japan, and to evaluate the clinical significance of class subdivisions for the treatment of VT. In assessing the efficacy of drugs, we evaluated their ability to prevent and terminate induced sustained VT as well as their ability to suppress spontaneous premature ventricular beats (VPB"
"866","TWrex-prevent","thrombosis","255","265","pentoxifylline","217","231","The appropriate management and treatment may be based upon clinical expression, in case of arterial thrombosis (type II APS), or deep vein thrombosis (Type II) long term anticoagulation is indicated; Association with pentoxifylline in the case of retinal thrombosis (type IIIa), Stroke (type IIIb) cases may require long term anticoagulation as well as aspirin"
"867","TWrex-prevent","malaria","7","14","antimalarial drug","195","213","As the malaria parasites become increasingly resistant to the quinoline antimalarials, there is an urgent need to understand the molecular mechanisms for drug action and resistance so that novel antimalarial drugs can be designed"
"868","TWrex-prevent","S. mansoni","204","214","oxamniquine","169","180","Chemical and histological indices of liver fibrosis were measured after eight, 18 and 28 weeks in mice infected with Schistosoma mansoni and treated at eight weeks with oxamniquine, in mice infected with S. mansoni and not treated and in mice not infected with S. mansoni"
"869","TWrex-prevent","deficiency","11","21","flavin mononucleotide","107","128","Riboflavin deficiency decreases the activity of rat hepatic microsomal enzymes, addition of riboflavin and flavin mononucleotide stimulates their activity"
"870","TWrex-prevent","graft versus host disease","71","96","RAPA","11","15","Rapamycin (RAPA) is an immunosuppressive drug that prevents and treats graft-versus-host disease (GVHD) after allogeneic hematopoietic cell transplant (HCT"
