"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"647","TWrex-diagnose","[TUBERCULOSIS]","173","185","[PPD]","147","150","Sixteen of the reagents were new tuberculins prepared from extracts of living mycobacteria disrupted by ultrasonic disintegration and the last was [PPD], RT23.The effect that [TUBERCULOSIS] exerted on the delayed-type skin test response to these antigens was assessed by comparing results for tuberculosis patients with those for Tuberculin positive and Tuberculin negative control populations.","0"
"648","TWrex-diagnose","[TUBERCULOSIS]","289","301","[PPD]","147","150","Sixteen of the reagents were new tuberculins prepared from extracts of living mycobacteria disrupted by ultrasonic disintegration and the last was [PPD], RT23.The effect that tuberculosis exerted on the delayed-type skin test response to these antigens was assessed by comparing results for [TUBERCULOSIS] patients with those for Tuberculin positive and Tuberculin negative control populations.","0"
"649","TWrex-diagnose","[PITUITARY]","34","43","[THYROTROPIN]","141","152","Dynamic tests of the hypothalamic-[PITUITARY] axis included growth hormone releasing hormone (GHRH), gonadotropin releasing hormone (GnRH) and [THYROTROPIN] releasing hormone (TRH) stimulations with measurements of serum growth hormone (GH), follicle stimulating hormone (FSH), luteinizing hormone (LH), thyrotropin (TSH) and prolactin (PRL) responses.","0"
"650","TWrex-diagnose","[PITUITARY]","34","43","[THYROTROPIN]","300","311","Dynamic tests of the hypothalamic-[PITUITARY] axis included growth hormone releasing hormone (GHRH), gonadotropin releasing hormone (GnRH) and thyrotropin releasing hormone (TRH) stimulations with measurements of serum growth hormone (GH), follicle stimulating hormone (FSH), luteinizing hormone (LH), [THYROTROPIN] (TSH) and prolactin (PRL) responses.","0"
"651","TWrex-diagnose","[TUBERCULOSIS]","40","52","[TUBERCULIN]","60","70","The most common test to identify latent [TUBERCULOSIS] is the [TUBERCULIN] skin test that detects T cell responses of delayed type hypersensitivity type IV.","0"
"653","TWrex-diagnose","[INFECTION]","290","299","[TEST]","192","196","The aims of this study were to evaluate the sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV) and diagnostic accuracy of a rapid serum and whole-blood [TEST], Quick Vue One-Step H. pylori test (Quidel Corporation) for detection of Helicobacter pylori [INFECTION].","0"
"654","TWrex-diagnose","[INFECTION]","290","299","[TEST]","227","231","The aims of this study were to evaluate the sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV) and diagnostic accuracy of a rapid serum and whole-blood test, Quick Vue One-Step H. pylori [TEST] (Quidel Corporation) for detection of Helicobacter pylori [INFECTION].","0"
"655","TWrex-diagnose","[TUBERCULOSIS]","64","76","[PPD]","253","256","We studied 57 infants (40 boys, 17 girls) who were diagnosed as [TUBERCULOSIS] by isolation of Mycobacterium tuberculosis or combination of family contact, radiographic findings suggesting tuberculosis, and positive reaction of 5 mm or more induration to [PPD] tuberculin.","0"
"656","TWrex-diagnose","[TUBERCULOSIS]","107","119","[PPD]","253","256","We studied 57 infants (40 boys, 17 girls) who were diagnosed as tuberculosis by isolation of Mycobacterium [TUBERCULOSIS] or combination of family contact, radiographic findings suggesting tuberculosis, and positive reaction of 5 mm or more induration to [PPD] tuberculin.","0"
"657","TWrex-diagnose","[TUBERCULOSIS]","187","199","[PPD]","253","256","We studied 57 infants (40 boys, 17 girls) who were diagnosed as tuberculosis by isolation of Mycobacterium tuberculosis or combination of family contact, radiographic findings suggesting [TUBERCULOSIS], and positive reaction of 5 mm or more induration to [PPD] tuberculin.","0"
"658","TWrex-diagnose","[TUBERCULOSIS]","162","174","[PPD]","4","7","The [PPD]-based IFN-gamma test was very effective in differentiating animals vaccinated against Johne's disease that were skin-test positive from those with bovine [TUBERCULOSIS], and the use of ppd or specific mycobacterial antigens minimised the number of false positive reactions in animals with skin tuberculosis.","0"
"659","TWrex-diagnose","[TUBERCULOSIS]","162","174","[PPD]","191","194","The ppd-based IFN-gamma test was very effective in differentiating animals vaccinated against Johne's disease that were skin-test positive from those with bovine [TUBERCULOSIS], and the use of [PPD] or specific mycobacterial antigens minimised the number of false positive reactions in animals with skin tuberculosis.","0"
"660","TWrex-diagnose","[TUBERCULOSIS]","300","312","[PPD]","4","7","The [PPD]-based IFN-gamma test was very effective in differentiating animals vaccinated against Johne's disease that were skin-test positive from those with bovine tuberculosis, and the use of ppd or specific mycobacterial antigens minimised the number of false positive reactions in animals with skin [TUBERCULOSIS].","0"
