"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"1320","TWrex-prevent","[ULCER]","81","86","[RANITIDINE]","12","22","We compared [RANITIDINE] and cimetidine in maintenance therapy to prevent duodenal [ULCER] recurrence over a period of 24 months.","0"
"1322","TWrex-prevent","[HOT FLASH]","189","198","[ESTROGEN]","147","155","Several areas of clinical relevance are described, including the effects of discontinuing combined hormone therapy (estrogen plus progesterone) or [ESTROGEN]-only therapy, the possibility of [HOT FLASH]es continuing for many years after menopause, and the link between hot flashes and depression.","0"
"1324","TWrex-prevent","[HOT FLASH]","265","274","[ESTROGEN]","147","155","Several areas of clinical relevance are described, including the effects of discontinuing combined hormone therapy (estrogen plus progesterone) or [ESTROGEN]-only therapy, the possibility of hot flashes continuing for many years after menopause, and the link between [HOT FLASH]es and depression.","0"
"1325","TWrex-prevent","[FOLATE DEFICIENCY]","126","143","[FOLINIC ACID]","98","110","In order to evaluate the efficacy of oral administration of a pharmacological dose of folic or of [FOLINIC ACID] to prevent the [FOLATE DEFICIENCY] in patients with inflammatory bowel disease (IBD) treated with salicylazosulfapyridine (SASP) (1g twice daily at meal times), two groups of 15 patients with IBD received 15 mg/day of folic or folinic acid for one month.","0"
"1326","TWrex-prevent","[FOLATE DEFICIENCY]","126","143","[FOLINIC ACID]","336","348","In order to evaluate the efficacy of oral administration of a pharmacological dose of folic or of folinic acid to prevent the [FOLATE DEFICIENCY] in patients with inflammatory bowel disease (IBD) treated with salicylazosulfapyridine (SASP) (1g twice daily at meal times), two groups of 15 patients with IBD received 15 mg/day of folic or [FOLINIC ACID] for one month.","0"
"1328","TWrex-prevent","[GASTRIC ULCER]","156","169","[RANITIDINE]","35","45","In a direct comparative trial with [RANITIDINE], misoprostol (200 micrograms qid) was significantly more effective than ranitidine (150 mg bid) in preventing [GASTRIC ULCER]s in chronic NSAID users.","0"
"1329","TWrex-prevent","[GASTRIC ULCER]","156","169","[RANITIDINE]","118","128","In a direct comparative trial with ranitidine, misoprostol (200 micrograms qid) was significantly more effective than [RANITIDINE] (150 mg bid) in preventing [GASTRIC ULCER]s in chronic NSAID users.","0"
"1330","TWrex-prevent","[UNSTABLE ANGINA]","278","293","[EPTIFIBATIDE]","167","179","We compared ex vivo platelet function by both standard light transmission aggregometry and rapid platelet function assay during and after administration of abciximab, [EPTIFIBATIDE], or tirofiban in approved dose regimens on a randomized basis at the time of PCI in patients with [UNSTABLE ANGINA] pectoris.","0"
"1331","TWrex-prevent","[ULCER]","51","56","[RANITIDINE]","18","28","The inactivity of [RANITIDINE] in preventing gastric [ULCER]s indicates that the pathogenesis of NSAID-induced gastric ulcers is not related to gastric acid.","0"
"1332","TWrex-prevent","[ULCER]","115","120","[RANITIDINE]","18","28","The inactivity of [RANITIDINE] in preventing gastric ulcers indicates that the pathogenesis of NSAID-induced gastric [ULCER]s is not related to gastric acid.","0"
