"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"1643","TWrex-symptom","[ACTIVITY]","280","288","[CARCINOMA]","354","363","Microscopically, the pleural neoplasm was composed of three different components: 40% of the tumor showed the classic histology of a malignant epithelial mesothelioma, 40% was composed of small- to medium-sized cells with open nuclear chromatin, evident nucleoli and high mitotic [ACTIVITY], and 20% of the neoplasm was indistinguishable from a small cell [CARCINOMA].","0"
"1644","TWrex-symptom","[RESTRICTION]","149","160","[PSEUDOTHALIDOMIDE SYNDROME]","0","26","[PSEUDOTHALIDOMIDE SYNDROME] is a rare autosomal recessive condition characterized by tetraphocomelia, craniofacial abnormalities and postnatal growth [RESTRICTION].","0"
"1645","TWrex-symptom","[REGURGITATION]","185","198","[SYNDROME]","133","141","A successful case of simultaneous modified Bentall' procedure, MVR and sternoplasty was presented for a 42 years old man of Marfan's [SYNDROME] who had funnel chest, combined with mitral [REGURGITATION], aortic regurgitation and annuloaortic ectasia.","0"
"1646","TWrex-symptom","[REGURGITATION]","207","220","[SYNDROME]","133","141","A successful case of simultaneous modified Bentall' procedure, MVR and sternoplasty was presented for a 42 years old man of Marfan's [SYNDROME] who had funnel chest, combined with mitral regurgitation, aortic [REGURGITATION] and annuloaortic ectasia.","0"
"1647","TWrex-symptom","[HYPOTHERMIA]","157","168","[MENKES DISEASE]","0","14","[MENKES DISEASE] is a rare, sex-linked recessive disorder characterized by kinky hair, convulsion, mental retardation, bone and connective tissue lesions, and [HYPOTHERMIA].","0"
"1649","TWrex-symptom","[OCCIPITAL ENCEPHALOCELE]","178","201","[KNOBLOCH SYNDROME]","0","17","[KNOBLOCH SYNDROME] (KS) is an autosomal recessive disorder defined by the occurrence of high myopia, vitreoretinal degeneration with retinal detachment, macular abnormalities and [OCCIPITAL ENCEPHALOCELE].","0"
"1650","TWrex-symptom","[HYPERTRICHOSIS]","47","61","[SYNDROME]","21","29","In addition to Leigh [SYNDROME] all patients had [HYPERTRICHOSIS], a clinical sign that is not usually associated with Leigh syndrome.","0"
"1651","TWrex-symptom","[HYPERTRICHOSIS]","47","61","[SYNDROME]","121","129","In addition to Leigh syndrome all patients had [HYPERTRICHOSIS], a clinical sign that is not usually associated with Leigh [SYNDROME].","0"
"1652","TWrex-symptom","[DIARRHEA]","43","51","[CROHN DISEASE]","399","412","The combination of chronic abdominal pain, [DIARRHEA], and heme-positive stools associated with inflammatory changes in biopsy specimens obtained from the proximal colon, but normal findings on radiologic, colonoscopic, and rectal biopsy examinations, may represent an early stage in the evolution of chronic nonspecific inflammatory bowel disease, including ulcerative colitis or regional enteritis ([CROHN DISEASE].","0"
"1653","TWrex-symptom","[INFECTION]","33","42","[TUBERCULOSIS]","20","32","The finding that M. [TUBERCULOSIS] [INFECTION] activate JAK2/STAT1-alpha pathway suggests that M. tuberculosis might mimic macrophage-activating stimuli.","0"
"1654","TWrex-symptom","[INFECTION]","33","42","[TUBERCULOSIS]","94","106","The finding that M. tuberculosis [INFECTION] activate JAK2/STAT1-alpha pathway suggests that M. [TUBERCULOSIS] might mimic macrophage-activating stimuli.","0"
"1655","TWrex-symptom","[STRIDOR]","10","17","[PMD]","66","69","Transient [STRIDOR] and nystagmus were early signs in both types of [PMD].","0"
"1656","TWrex-symptom","[INEFFECTIVE HEMATOPOIESIS]","70","95","[MYELODYSPLASTIC SYNDROME]","0","24","[MYELODYSPLASTIC SYNDROME]s (MDS) are clonal disorders characterized by [INEFFECTIVE HEMATOPOIESIS] with rare occurrence in childhood.","0"
"1657","TWrex-symptom","[CARCINOMA]","58","67","[HEPATOCELLULAR CARCINOMA]","238","262","Several aspects are revised on the subject hepatocellular [CARCINOMA] related to its incidence/prevalence, risk and prognostic factors, cellular proliferation, pathological aspects, progression of chronic hepatitis B and C to cirrhosis and [HEPATOCELLULAR CARCINOMA], natural course of hepatocellular carcinoma, some clinical data, morphological diagnosis with special emphasis on radiological findings as ultrasound, dynamic computed tomography and magnetic resonance imaging, color-power Doppler, tissue and contrast harmonic.","0"
"1658","TWrex-symptom","[CARCINOMA]","58","67","[HEPATOCELLULAR CARCINOMA]","282","306","Several aspects are revised on the subject hepatocellular [CARCINOMA] related to its incidence/prevalence, risk and prognostic factors, cellular proliferation, pathological aspects, progression of chronic hepatitis B and C to cirrhosis and hepatocellular carcinoma, natural course of [HEPATOCELLULAR CARCINOMA], some clinical data, morphological diagnosis with special emphasis on radiological findings as ultrasound, dynamic computed tomography and magnetic resonance imaging, color-power Doppler, tissue and contrast harmonic.","0"
"1659","TWrex-symptom","[CARCINOMA]","253","262","[HEPATOCELLULAR CARCINOMA]","43","67","Several aspects are revised on the subject [HEPATOCELLULAR CARCINOMA] related to its incidence/prevalence, risk and prognostic factors, cellular proliferation, pathological aspects, progression of chronic hepatitis B and C to cirrhosis and hepatocellular [CARCINOMA], natural course of hepatocellular carcinoma, some clinical data, morphological diagnosis with special emphasis on radiological findings as ultrasound, dynamic computed tomography and magnetic resonance imaging, color-power Doppler, tissue and contrast harmonic.","0"
"1660","TWrex-symptom","[CARCINOMA]","253","262","[HEPATOCELLULAR CARCINOMA]","282","306","Several aspects are revised on the subject hepatocellular carcinoma related to its incidence/prevalence, risk and prognostic factors, cellular proliferation, pathological aspects, progression of chronic hepatitis B and C to cirrhosis and hepatocellular [CARCINOMA], natural course of [HEPATOCELLULAR CARCINOMA], some clinical data, morphological diagnosis with special emphasis on radiological findings as ultrasound, dynamic computed tomography and magnetic resonance imaging, color-power Doppler, tissue and contrast harmonic.","0"
"1661","TWrex-symptom","[CARCINOMA]","297","306","[HEPATOCELLULAR CARCINOMA]","43","67","Several aspects are revised on the subject [HEPATOCELLULAR CARCINOMA] related to its incidence/prevalence, risk and prognostic factors, cellular proliferation, pathological aspects, progression of chronic hepatitis B and C to cirrhosis and hepatocellular carcinoma, natural course of hepatocellular [CARCINOMA], some clinical data, morphological diagnosis with special emphasis on radiological findings as ultrasound, dynamic computed tomography and magnetic resonance imaging, color-power Doppler, tissue and contrast harmonic.","0"
"1662","TWrex-symptom","[CARCINOMA]","297","306","[HEPATOCELLULAR CARCINOMA]","238","262","Several aspects are revised on the subject hepatocellular carcinoma related to its incidence/prevalence, risk and prognostic factors, cellular proliferation, pathological aspects, progression of chronic hepatitis B and C to cirrhosis and [HEPATOCELLULAR CARCINOMA], natural course of hepatocellular [CARCINOMA], some clinical data, morphological diagnosis with special emphasis on radiological findings as ultrasound, dynamic computed tomography and magnetic resonance imaging, color-power Doppler, tissue and contrast harmonic.","0"
"1663","TWrex-symptom","[RETARDATION]","166","177","[SYNDROME]","18","26","Smith-Lemli-Opitz [SYNDROME] (SLOS) is an autosomal recessive syndrome, characterized by severe growth failure and congenital anomalies (for example dysgenesis, mental [RETARDATION], renal and cardiac defects, and various malformation.","0"
"1664","TWrex-symptom","[RETARDATION]","166","177","[SYNDROME]","60","68","Smith-Lemli-Opitz syndrome (SLOS) is an autosomal recessive [SYNDROME], characterized by severe growth failure and congenital anomalies (for example dysgenesis, mental [RETARDATION], renal and cardiac defects, and various malformation.","0"
"1666","TWrex-symptom","[DEPRESSION]","42","52","[HD]","20","22","Fifty patients with [HD] completed the Beck [DEPRESSION] Inventory-II (BDI-II), the Hospital Anxiety and Depression Scale (HADS), and the Depression Intensity Scale Circles (DISCs.","0"
"1667","TWrex-symptom","[DEPRESSION]","101","111","[HD]","20","22","Fifty patients with [HD] completed the Beck Depression Inventory-II (BDI-II), the Hospital Anxiety and [DEPRESSION] Scale (HADS), and the Depression Intensity Scale Circles (DISCs.","0"
