"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"321","TWrex-contraindicated_drug","[THROMBOEMBOLISM]","66","81","[LEVONORGESTREL]","346","360","Four epidemiological studies showed a two-fold increase of venous [THROMBOEMBOLISM] with the use of oral contraceptives containing third generation progestins (gestodene and desogesterel, relative to second-generations product (levonorgestrel); relative risk 3.8 per 100,000 women years in non-user women, 16 per 100,000 women years in women using [LEVONORGESTREL] containing oral contraceptive) and 29 per 100,000 women years in women using gestodene containing oral contraceptive.","0"
"360","TWrex-contraindicated_drug","[HYPERCALCAEMIA]","103","117","[CALCIUM ACETATE]","23","38","In this instance, too, [CALCIUM ACETATE] was shown to be more effective; although the patients developed [HYPERCALCAEMIA] with calcium acetate, this happened more often with calcium carbonate.","0"
"419","TWrex-contraindicated_drug","[PREGNANCY]","46","55","[WARFARIN]","132","140","Heparin is the anticoagulant of choice during [PREGNANCY], but warfarin may be used between 13 and 36 weeks of gestation; heparin and [WARFARIN] can be used during breast feeding.","0"
"474","TWrex-contraindicated_drug","[PREGNANCY]","368","377","[PENTAZOCINE]","229","240","Group I women (N = 51) conceived while on heroin and were converted to low-dose methadone maintenance; Group II women were addicted to multiple licit or illicit nonnarcotic drugs (N = 22); Group III women abused a combination of [PENTAZOCINE] and tripelennamine (T's and blues) during pregnancy (N = 13); and Group IV women (N = 9) abused phencyclidine (PCP) throughout [PREGNANCY].","0"
"488","TWrex-contraindicated_drug","[PREGNANCY]","60","69","[METHADONE]","101","110","First, women who continued to use illicit heroin throughout [PREGNANCY]; secondly, women stabilized on [METHADONE] at the time of conception or shortly after and thirdly, women who use heroin well into pregnancy with late entry into methadone treatment, or who continued to use illicit heroin during pregnancy while receiving methadone.","0"
"489","TWrex-contraindicated_drug","[PREGNANCY]","60","69","[METHADONE]","229","238","First, women who continued to use illicit heroin throughout [PREGNANCY]; secondly, women stabilized on methadone at the time of conception or shortly after and thirdly, women who use heroin well into pregnancy with late entry into [METHADONE] treatment, or who continued to use illicit heroin during pregnancy while receiving methadone.","0"
"490","TWrex-contraindicated_drug","[PREGNANCY]","60","69","[METHADONE]","322","331","First, women who continued to use illicit heroin throughout [PREGNANCY]; secondly, women stabilized on methadone at the time of conception or shortly after and thirdly, women who use heroin well into pregnancy with late entry into methadone treatment, or who continued to use illicit heroin during pregnancy while receiving [METHADONE].","0"
"597","TWrex-contraindicated_drug","[PE]","364","366","[SALT]","301","305","papillomavirus vaccine; Icatibant Id-KLH, imatinib mesylate, INS-37217, iodine (I131) tositumomab; LAS-34475, levobupivacaine hydrochloride, levocetirizine, linezolid, 131I-lipiodol, lonafarnib, lopinavir, LY-450108; Magnetites, MBI-594AN, melagatran, melatonin, mepolizumab, mycophenolic acid sodium [SALT]; NC-100100; 1-Octanol, omalizumab, omapatrilat, onercept; [PE]G-filgrastim, (PE)HRG21, peginterferon alfa-2a, peginterferon alfa-2b, pleconaril, pneumococcal 7-valent conjugate vaccine, prasterone; Ranelic acid distrontium salt, rasagiline mesilate.","0"
"598","TWrex-contraindicated_drug","[PE]","364","366","[SALT]","527","531","papillomavirus vaccine; Icatibant Id-KLH, imatinib mesylate, INS-37217, iodine (I131) tositumomab; LAS-34475, levobupivacaine hydrochloride, levocetirizine, linezolid, 131I-lipiodol, lonafarnib, lopinavir, LY-450108; Magnetites, MBI-594AN, melagatran, melatonin, mepolizumab, mycophenolic acid sodium salt; NC-100100; 1-Octanol, omalizumab, omapatrilat, onercept; [PE]G-filgrastim, (PE)HRG21, peginterferon alfa-2a, peginterferon alfa-2b, pleconaril, pneumococcal 7-valent conjugate vaccine, prasterone; Ranelic acid distrontium [SALT], rasagiline mesilate.","0"
"599","TWrex-contraindicated_drug","[PE]","381","383","[SALT]","301","305","papillomavirus vaccine; Icatibant Id-KLH, imatinib mesylate, INS-37217, iodine (I131) tositumomab; LAS-34475, levobupivacaine hydrochloride, levocetirizine, linezolid, 131I-lipiodol, lonafarnib, lopinavir, LY-450108; Magnetites, MBI-594AN, melagatran, melatonin, mepolizumab, mycophenolic acid sodium [SALT]; NC-100100; 1-Octanol, omalizumab, omapatrilat, onercept; PEG-filgrastim, ([PE])HRG21, peginterferon alfa-2a, peginterferon alfa-2b, pleconaril, pneumococcal 7-valent conjugate vaccine, prasterone; Ranelic acid distrontium salt, rasagiline mesilate.","0"
"600","TWrex-contraindicated_drug","[PE]","381","383","[SALT]","527","531","papillomavirus vaccine; Icatibant Id-KLH, imatinib mesylate, INS-37217, iodine (I131) tositumomab; LAS-34475, levobupivacaine hydrochloride, levocetirizine, linezolid, 131I-lipiodol, lonafarnib, lopinavir, LY-450108; Magnetites, MBI-594AN, melagatran, melatonin, mepolizumab, mycophenolic acid sodium salt; NC-100100; 1-Octanol, omalizumab, omapatrilat, onercept; PEG-filgrastim, ([PE])HRG21, peginterferon alfa-2a, peginterferon alfa-2b, pleconaril, pneumococcal 7-valent conjugate vaccine, prasterone; Ranelic acid distrontium [SALT], rasagiline mesilate.","0"
"601","TWrex-contraindicated_drug","[PE]","391","393","[SALT]","301","305","papillomavirus vaccine; Icatibant Id-KLH, imatinib mesylate, INS-37217, iodine (I131) tositumomab; LAS-34475, levobupivacaine hydrochloride, levocetirizine, linezolid, 131I-lipiodol, lonafarnib, lopinavir, LY-450108; Magnetites, MBI-594AN, melagatran, melatonin, mepolizumab, mycophenolic acid sodium [SALT]; NC-100100; 1-Octanol, omalizumab, omapatrilat, onercept; PEG-filgrastim, (PE)HRG21, [PE]ginterferon alfa-2a, peginterferon alfa-2b, pleconaril, pneumococcal 7-valent conjugate vaccine, prasterone; Ranelic acid distrontium salt, rasagiline mesilate.","0"
"602","TWrex-contraindicated_drug","[PE]","391","393","[SALT]","527","531","papillomavirus vaccine; Icatibant Id-KLH, imatinib mesylate, INS-37217, iodine (I131) tositumomab; LAS-34475, levobupivacaine hydrochloride, levocetirizine, linezolid, 131I-lipiodol, lonafarnib, lopinavir, LY-450108; Magnetites, MBI-594AN, melagatran, melatonin, mepolizumab, mycophenolic acid sodium salt; NC-100100; 1-Octanol, omalizumab, omapatrilat, onercept; PEG-filgrastim, (PE)HRG21, [PE]ginterferon alfa-2a, peginterferon alfa-2b, pleconaril, pneumococcal 7-valent conjugate vaccine, prasterone; Ranelic acid distrontium [SALT], rasagiline mesilate.","0"
"603","TWrex-contraindicated_drug","[PE]","414","416","[SALT]","301","305","papillomavirus vaccine; Icatibant Id-KLH, imatinib mesylate, INS-37217, iodine (I131) tositumomab; LAS-34475, levobupivacaine hydrochloride, levocetirizine, linezolid, 131I-lipiodol, lonafarnib, lopinavir, LY-450108; Magnetites, MBI-594AN, melagatran, melatonin, mepolizumab, mycophenolic acid sodium [SALT]; NC-100100; 1-Octanol, omalizumab, omapatrilat, onercept; PEG-filgrastim, (PE)HRG21, peginterferon alfa-2a, [PE]ginterferon alfa-2b, pleconaril, pneumococcal 7-valent conjugate vaccine, prasterone; Ranelic acid distrontium salt, rasagiline mesilate.","0"
"604","TWrex-contraindicated_drug","[PE]","414","416","[SALT]","527","531","papillomavirus vaccine; Icatibant Id-KLH, imatinib mesylate, INS-37217, iodine (I131) tositumomab; LAS-34475, levobupivacaine hydrochloride, levocetirizine, linezolid, 131I-lipiodol, lonafarnib, lopinavir, LY-450108; Magnetites, MBI-594AN, melagatran, melatonin, mepolizumab, mycophenolic acid sodium salt; NC-100100; 1-Octanol, omalizumab, omapatrilat, onercept; PEG-filgrastim, (PE)HRG21, peginterferon alfa-2a, [PE]ginterferon alfa-2b, pleconaril, pneumococcal 7-valent conjugate vaccine, prasterone; Ranelic acid distrontium [SALT], rasagiline mesilate.","0"
"623","TWrex-contraindicated_drug","[THYROID]","177","184","[HORMONE]","10","17","Releasing [HORMONE] studies showed partial luteinizing hormone (LH) response and no follicle-stimulating hormone response to administration of gonadorelin (LH-releasing hormone); [THYROID]-stimulating hormone (TSH) and prolactin levels were increased normally after administration of protirelin (thyrotropin-releasing hormone.","0"
"624","TWrex-contraindicated_drug","[THYROID]","177","184","[HORMONE]","53","60","Releasing hormone studies showed partial luteinizing [HORMONE] (LH) response and no follicle-stimulating hormone response to administration of gonadorelin (LH-releasing hormone); [THYROID]-stimulating hormone (TSH) and prolactin levels were increased normally after administration of protirelin (thyrotropin-releasing hormone.","0"
"625","TWrex-contraindicated_drug","[THYROID]","177","184","[HORMONE]","103","110","Releasing hormone studies showed partial luteinizing hormone (LH) response and no follicle-stimulating [HORMONE] response to administration of gonadorelin (LH-releasing hormone); [THYROID]-stimulating hormone (TSH) and prolactin levels were increased normally after administration of protirelin (thyrotropin-releasing hormone.","0"
"626","TWrex-contraindicated_drug","[THYROID]","177","184","[HORMONE]","167","174","Releasing hormone studies showed partial luteinizing hormone (LH) response and no follicle-stimulating hormone response to administration of gonadorelin (LH-releasing [HORMONE]); [THYROID]-stimulating hormone (TSH) and prolactin levels were increased normally after administration of protirelin (thyrotropin-releasing hormone.","0"
"635","TWrex-contraindicated_drug","[GESTATION]","109","118","[WARFARIN]","132","140","Heparin is the anticoagulant of choice during pregnancy, but warfarin may be used between 13 and 36 weeks of [GESTATION]; heparin and [WARFARIN] can be used during breast feeding.","0"
