unit_id,worker_id,relation
227301387,216,"[CAUSES]"
227301390,216,"[SYMPTOM]"
227301393,216,"[CAUSES]"
227301397,216,"[CAUSES]"
227301403,216,"[LOCATION]"
227301405,216,"[DIAGNOSED_BY_TEST_OR_DRUG]
[LOCATION]"
227301406,216,"[DIAGNOSED_BY_TEST_OR_DRUG]
[LOCATION]"
227301407,216,"[PREVENTS]"
227301409,216,"[CAUSES]"
227301413,216,"[DIAGNOSED_BY_TEST_OR_DRUG]"
227301410,46633,"[TREATS]
[PREVENTS]"
227816727,46633,"[MANIFESTATION]"
227301387,180534,"[CAUSES]"
227301392,180534,"[CAUSES]"
227301393,180534,"[MANIFESTATION]"
227301394,180534,"[ASSOCIATED_WITH]"
227301395,180534,"[CAUSES]"
227301396,180534,"[CAUSES]"
227301401,180534,"[PART_OF]"
227301403,180534,"[MANIFESTATION]
[IS_A]"
227301404,180534,"[MANIFESTATION]"
227301406,180534,"[LOCATION]"
227816706,232672,"[OTHER]"
227816708,232672,"[CAUSES]"
227816712,232672,"[OTHER]"
227816714,232672,"[OTHER]"
227816716,232672,"[LOCATION]"
227816718,232672,"[OTHER]"
227816723,232672,"[OTHER]"
227816726,232672,"[DIAGNOSED_BY_TEST_OR_DRUG]"
225527731,236711,"[SYMPTOM]"
225527732,236711,"[ASSOCIATED_WITH]"
225527736,236711,"[SYMPTOM]"
225527737,236711,"[MANIFESTATION]"
225527742,236711,"[CAUSES]"
225527748,236711,"[LOCATION]"
225527752,236711,"[PREVENTS]"
225527756,236711,"[ASSOCIATED_WITH]"
225527758,236711,"[DIAGNOSED_BY_TEST_OR_DRUG]"
225527759,236711,"[CAUSES]"
227816700,236711,"[SYMPTOM]"
227816702,236711,"[SYMPTOM]"
227816705,236711,"[SYMPTOM]"
227816708,236711,"[CAUSES]"
227816710,236711,"[PART_OF]"
227816720,236711,"[PREVENTS]"
227816721,236711,"[SYMPTOM]"
227816722,236711,"[ASSOCIATED_WITH]"
