"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"975","TWrex-location","[CNS]","146","149","[INVOLVEMENT]","150","161","All 56 patients were diagnosed during the initial phase of TBE, however, only 1/56 (1.8%) had an isolated initial phase of TBE without subsequent [CNS] [INVOLVEMENT], whereas 55/56 (98.2%) patients developed a clinically biphasic course of illness with CSF abnormalities (pleocytosis) during the second phase of the disease.","0"
"976","TWrex-location","[EYE]","302","305","[ATROPHY]","227","234","The authors analyze the findings of histomorphologic and immunomorphologic studies of 20 cadaver optic nerves from subjects with a history of acute vascular optic neuropathies due to atherosclerosis, eventuating in optic nerve [ATROPHY]: 13 atrophic optic nerves and 7 pair nerves from clinically normal [EYE]s of the same patients were examined.","0"
"977","TWrex-location","[TRACT]","163","168","[RESPIRATORY INFECTION]","235","256","These data suggest that both gut and respiratory mucosal immunization with a major adhesin of B. pertussis generates a specific immune response in the respiratory [TRACT] that may serve as one means of mitigating subsequent B. pertussis [RESPIRATORY INFECTION].","0"
"978","TWrex-location","[ABDOMEN]","72","79","[PERITONITIS]","149","160","Out of these patients 2 had pathologic findings on the left side of the [ABDOMEN] which turned out to be acute diverticulitis in one patient and acute [PERITONITIS] in the other.","0"
"979","TWrex-location","[LUNG]","18","22","[INJURY]","23","29","Bleomycin-induced [LUNG] [INJURY] selectively attenuates hypoxic pulmonary vasoconstriction, an effect that does not appear to be mediated by platelet-activating factor.","0"
"980","TWrex-location","[SYSTEM]","38","44","[PITUITARY ADENOMA]","48","65","Metastases within the central-nervous [SYSTEM] of [PITUITARY ADENOMA] is a rare entity and only 21 cases have been published.","0"
"981","TWrex-location","[TRACT]","26","31","[POLYP]","62","67","An upper gastrointestinal [TRACT] study can demonstrate gastric [POLYP]s in 85 to 90 per cent of the patients.","0"
"982","TWrex-location","[SKIN]","103","107","[PEMPHIGOID]","12","22","Cicatricial [PEMPHIGOID] is a subepidermal blistering disease that involves the mucous membranes and the [SKIN].","0"
"983","TWrex-location","[OVARY]","65","70","[PCOS]","81","85","A contemporary &quot;Pandora's box&quot; could be the polycystic [OVARY] syndrome ([PCOS]), containing several negative features for a woman: compromised looks, compromised fertility; increased metabolic risk factors; and compromised general health.","0"
"984","TWrex-location","[SYSTEM]","115","121","[NERVOUS SYSTEM DISEASE]","34","56","Neuropathic pain is a progressive [NERVOUS SYSTEM DISEASE] due to an alteration of the peripheral or central nervous [SYSTEM].","0"
"985","TWrex-location","[CHEST]","40","45","[PAIN]","46","50","Two weeks later, however, she developed [CHEST] [PAIN], dyspnoea and cough productive of large amounts of white-yellow sputum, even though antibiotic treatment was continuing.","0"
"986","TWrex-location","[VESSEL]","208","214","[TUMOR]","396","401","This vascular review is organized under the following headings: vasculogenesis and angiogenesis; vascular endothelial growth factors, their receptors, TIE receptors, and angiopoietins; other factors in blood [VESSEL] formation; parallel patterning in blood vessels and nerves; physiological and pathological neovascularization; the role of VEGF receptors in metastasis; anti-angiogenic therapy for [TUMOR]s; association of blood vessels with fat; vascular malformations and vascular tumors; infantile hemangiomas; congenital hemangiomas; lymphatic malformations; molecular characteristics of some disorders with vascular malformations; Kasabach-Merritt phenomenon; Sturge-Weber syndrome.","0"
"987","TWrex-location","[VESSEL]","208","214","[TUMOR]","479","484","This vascular review is organized under the following headings: vasculogenesis and angiogenesis; vascular endothelial growth factors, their receptors, TIE receptors, and angiopoietins; other factors in blood [VESSEL] formation; parallel patterning in blood vessels and nerves; physiological and pathological neovascularization; the role of VEGF receptors in metastasis; anti-angiogenic therapy for tumors; association of blood vessels with fat; vascular malformations and vascular [TUMOR]s; infantile hemangiomas; congenital hemangiomas; lymphatic malformations; molecular characteristics of some disorders with vascular malformations; Kasabach-Merritt phenomenon; Sturge-Weber syndrome.","0"
"988","TWrex-location","[VESSEL]","255","261","[TUMOR]","396","401","This vascular review is organized under the following headings: vasculogenesis and angiogenesis; vascular endothelial growth factors, their receptors, TIE receptors, and angiopoietins; other factors in blood vessel formation; parallel patterning in blood [VESSEL]s and nerves; physiological and pathological neovascularization; the role of VEGF receptors in metastasis; anti-angiogenic therapy for [TUMOR]s; association of blood vessels with fat; vascular malformations and vascular tumors; infantile hemangiomas; congenital hemangiomas; lymphatic malformations; molecular characteristics of some disorders with vascular malformations; Kasabach-Merritt phenomenon; Sturge-Weber syndrome.","0"
