"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"1","TWrex-cause","whooping cough","11","25","b. pertussis","126","138","Pertussis (whooping cough), a two-stage process of disease (respiratory colonization and toxin-mediated disease) is caused by B. pertussis"
"2","TWrex-cause","infection","138","147","HIV","304","307","Compared with opportunistic infections among HIV-infected adults, which are often caused by reactivation of pathogens acquired before HIV infection when host immunity was intact, opportunistic infections among children often reflect primary acquisition of the pathogen and, among children with perinatal HIV infection, infection acquired after HIV infection has been established and begun to compromise an already immature immune system"
"3","TWrex-cause","poliomyelitis","41","54","poliovirus","97","107","Because it appears that the last case of poliomyelitis caused by transmission of indigenous wild poliovirus occurred 2 years ago on 23 August 1991 in Peru, the challenge for PAHO is to develop a methodology of certification that will convince the rest of the world that the eradication of poliomyelitis in the Americas has been achieved"
"4","TWrex-cause","brucellosis","109","120","Brucella","131","139","The performance of a serum PCR assay was compared with that of a blood PCR assay for the diagnosis of canine brucellosis caused by Brucella canis in 72 dogs"
"5","TWrex-cause","lyme borreliosis","0","16","borrelia burgdorferi","42","62","Lyme borreliosis caused by the spirochete Borrelia burgdorferi is now the most common vectorborne disease in North America, Europe and Asia"
"6","TWrex-cause","disease","8","15","echinococcus","77","89","Hydatid disease is a parasitic infestation caused by a tapeworm of the genus Echinococcus, and it is common in Mediterranean regions"
"7","TWrex-cause","tuberculosis infection","119","141","mycobacterium tuberculosis","12","38","ESAT-6 from Mycobacterium tuberculosis is an important T-cell antigen for cell-mediated immunity in the early phase of tuberculosis infection"
"8","TWrex-cause","hepatitis c","39","50","virus","67","72","Furthermore, hepatotropic viruses like hepatitis C and hepatitis D virus may cause autoimmune phenomena which are similar to those in idiopathic autoimmune hepatitis"
"9","TWrex-cause","disease","52","59","burgdorferi","137","148","As in almost all other parts of North America, Lyme disease in this region is caused by a single genomic species of spirochete, Borrelia burgdorferi sensu stricto"
"10","TWrex-cause","lymphadenitis","59","72","corynebacterium pseudotuberculosis","0","34","Corynebacterium pseudotuberculosis commonly causes caseous lymphadenitis in Australian sheep"
