"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"320","TWrex-contraindicated_drug","[THROMBOEMBOLISM]","66","81","[LEVONORGESTREL]","226","240","Four epidemiological studies showed a two-fold increase of venous [THROMBOEMBOLISM] with the use of oral contraceptives containing third generation progestins (gestodene and desogesterel, relative to second-generations product ([LEVONORGESTREL]); relative risk 3.8 per 100,000 women years in non-user women, 16 per 100,000 women years in women using levonorgestrel containing oral contraceptive) and 29 per 100,000 women years in women using gestodene containing oral contraceptive.","0"
"322","TWrex-contraindicated_drug","[PREGNANCY]","52","61","[METHOTREXATE]","96","108","Our goal is to identify those patients with ectopic [PREGNANCY] who are most likely to respond to [METHOTREXATE] therapy and least likely to develop significant side effects.","0"
"323","TWrex-contraindicated_drug","[PREGNANCY]","88","97","[BROMOCRIPTINE]","63","76","In addition, patients without pituitary tumours who were given [BROMOCRIPTINE] to achieve [PREGNANCY], were less likely to develop tumours during follow-up even when pregnancy had occurred.","0"
"324","TWrex-contraindicated_drug","[PREGNANCY]","162","171","[BROMOCRIPTINE]","63","76","In addition, patients without pituitary tumours who were given [BROMOCRIPTINE] to achieve pregnancy, were less likely to develop tumours during follow-up even when [PREGNANCY] had occurred.","0"
"325","TWrex-contraindicated_drug","[PREGNANCY]","63","72","[DIETHYLSTILBESTROL]","37","55","The male offspring of women who took [DIETHYLSTILBESTROL] during [PREGNANCY] have an increased incidence of genital abnormalities and a possibly increased risk of prostate and testicular cancer.","0"
"326","TWrex-contraindicated_drug","[PREGNANCY]","52","61","[DANAZOL]","91","98","Masculinization of a female fetus occurred during a [PREGNANCY] in which the mother received [DANAZOL] for infertility due to endometriosis.","0"
"327","TWrex-contraindicated_drug","[PREGNANCY]","158","167","[STILBESTROL]","139","150","The experimental evidence was followed by observations in humans regarding the increased risk of cancer in daughters of women who received [STILBESTROL] during [PREGNANCY].","0"
"328","TWrex-contraindicated_drug","[PREGNANCY]","111","120","[RUBELLA]","43","50","There is a high risk to develop congenital [RUBELLA] syndrome (CRS) if the infection occurs in the first part of [PREGNANCY], particularly in women without specific immunological protection.","0"
"329","TWrex-contraindicated_drug","[PREGNANCY]","92","101","[PROGESTERONE]","139","151","Among selected hormones measured in pregnant women, those with nausea and vomiting in early [PREGNANCY] had significantly lower cortisol and [PROGESTERONE], but higher hCG, while those with vomiting in late pregnancy had significantly lower testosterone and hCG and higher dehydroepiandrosterone than unaffected women.","0"
"330","TWrex-contraindicated_drug","[PREGNANCY]","203","212","[PROGESTERONE]","139","151","Among selected hormones measured in pregnant women, those with nausea and vomiting in early pregnancy had significantly lower cortisol and [PROGESTERONE], but higher hCG, while those with vomiting in late [PREGNANCY] had significantly lower testosterone and hCG and higher dehydroepiandrosterone than unaffected women.","0"
"331","TWrex-contraindicated_drug","[PREGNANCY]","494","503","[ESTROGEN]","443","451","0.05); (b) a trend toward increased risk of developing breast cancer was found in women harboring a greater number of putative high-risk genotypes of NHEJ genes (an adjusted odds ratio of 1.46 for having one additional putative high-risk genotype; 95% confidence interval, 1.19-1.80); (c) this association between risk and the number of putative high-risk genotypes was stronger and more significant in women thought to be more susceptible to [ESTROGEN], i.e., those with no history of full-term [PREGNANCY]; and (d) the protective effect.","0"
"332","TWrex-contraindicated_drug","[PREGNANCY]","108","117","[DIETHYLSTILBESTROL]","80","98","The authors compared the incidence of breast cancer in 3033 women who had taken [DIETHYLSTILBESTROL] (DES) in [PREGNANCY] during the period 1940-60 with the incidence in a comparable group of unexposed parous women.","0"
"333","TWrex-contraindicated_drug","[ASTHMA]","109","115","[ASPIRIN]","0","7","[ASPIRIN] desensitization is indicated for patients who have aspirin-exacerbated respiratory disease and whose [ASTHMA] and/or rhinosinusitis is suboptimally controlled with inhaled corticosteroids and leukotriene-modifying drugs.","0"
"334","TWrex-contraindicated_drug","[ASTHMA]","109","115","[ASPIRIN]","59","66","Aspirin desensitization is indicated for patients who have [ASPIRIN]-exacerbated respiratory disease and whose [ASTHMA] and/or rhinosinusitis is suboptimally controlled with inhaled corticosteroids and leukotriene-modifying drugs.","0"
"335","TWrex-contraindicated_drug","[THROMBOCYTOPENIA]","73","89","[HEPARIN]","41","48","A small fraction of patients who receive [HEPARIN] develop heparin-induced [THROMBOCYTOPENIA] (HIT) and, of these patients, a still smaller proportion develop associated thrombotic complications.","0"
"336","TWrex-contraindicated_drug","[THROMBOCYTOPENIA]","73","89","[HEPARIN]","57","64","A small fraction of patients who receive heparin develop [HEPARIN]-induced [THROMBOCYTOPENIA] (HIT) and, of these patients, a still smaller proportion develop associated thrombotic complications.","0"
"337","TWrex-contraindicated_drug","[PREGNANCY]","40","49","[METHOTREXATE]","100","112","Thirty patients with unruptured ectopic [PREGNANCY] (4-10 weeks' gestation) were treated locally with [METHOTREXATE] (MTX) under sonographic guidance.","0"
"338","TWrex-contraindicated_drug","[PREGNANCY]","45","54","[METHOTREXATE]","119","131","A patient with a living 10-week old cervical [PREGNANCY] who desired to preserve fertility was successfully treated with [METHOTREXATE], intraamniotic KCI injection and endocervical curettage.","0"
"339","TWrex-contraindicated_drug","[INFECTION]","176","185","[DISEASE]","32","39","It is critical to exclude other [DISEASE]s that can mimic multiple sclerosis, including vascular disease, spinal cord compression, vitamin B12 deficiency, central nervous system [INFECTION] (e.g., Lyme disease, syphilis), and other inflammatory conditions (e.g., sarcoidosis, systemic lupus erythematosus, Sjögren's syndrome.","0"
"340","TWrex-contraindicated_drug","[INFECTION]","176","185","[DISEASE]","95","102","It is critical to exclude other diseases that can mimic multiple sclerosis, including vascular [DISEASE], spinal cord compression, vitamin B12 deficiency, central nervous system [INFECTION] (e.g., Lyme disease, syphilis), and other inflammatory conditions (e.g., sarcoidosis, systemic lupus erythematosus, Sjögren's syndrome.","0"
"341","TWrex-contraindicated_drug","[INFECTION]","176","185","[DISEASE]","198","205","It is critical to exclude other diseases that can mimic multiple sclerosis, including vascular disease, spinal cord compression, vitamin B12 deficiency, central nervous system [INFECTION] (e.g., Lyme [DISEASE], syphilis), and other inflammatory conditions (e.g., sarcoidosis, systemic lupus erythematosus, Sjögren's syndrome.","0"
"342","TWrex-contraindicated_drug","[PREGNANCY]","92","101","[DEHYDROEPIANDROSTERONE]","269","291","Among selected hormones measured in pregnant women, those with nausea and vomiting in early [PREGNANCY] had significantly lower cortisol and progesterone, but higher hCG, while those with vomiting in late pregnancy had significantly lower testosterone and hCG and higher [DEHYDROEPIANDROSTERONE] than unaffected women.","0"
"343","TWrex-contraindicated_drug","[PREGNANCY]","203","212","[DEHYDROEPIANDROSTERONE]","269","291","Among selected hormones measured in pregnant women, those with nausea and vomiting in early pregnancy had significantly lower cortisol and progesterone, but higher hCG, while those with vomiting in late [PREGNANCY] had significantly lower testosterone and hCG and higher [DEHYDROEPIANDROSTERONE] than unaffected women.","0"
"344","TWrex-contraindicated_drug","[INFECTION]","176","185","[LYME DISEASE]","193","205","It is critical to exclude other diseases that can mimic multiple sclerosis, including vascular disease, spinal cord compression, vitamin B12 deficiency, central nervous system [INFECTION] (e.g., [LYME DISEASE], syphilis), and other inflammatory conditions (e.g., sarcoidosis, systemic lupus erythematosus, Sjögren's syndrome.","0"
"345","TWrex-contraindicated_drug","[PREGNANCY]","72","81","[DIETHYLSTILBESTROL]","133","151","Of these patients, 186 had abnormal Papanicolaou smears associated with [PREGNANCY], 150 were referred because of in utero exposure to [DIETHYLSTILBESTROL], and 1244 were referred because of abnormal cervical cytologic smear or suspicious cervical or vaginal lesion.","0"
"346","TWrex-contraindicated_drug","[PREGNANCY]","143","152","[COCAINE]","15","22","Women who used [COCAINE] were much more likely to have used some combination of cigarettes, alcohol, and marijuana in addition to cocaine during [PREGNANCY].","0"
