"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"1919","TWrex-treat","[VISCERAL LEISHMANIASIS]","61","83","[AMPHOTERICIN]","10","22","Liposomal [AMPHOTERICIN] B appears as an effective therapy for [VISCERAL LEISHMANIASIS] in children and could be used as a first-line treatment.","0"
"1920","TWrex-treat","[ANGINA]","25","31","[TRINITRATE]","243","253","Ten patients with stable [ANGINA] pectoris and obstructed coronary arteries (greater than 75% reduction in diameter) were studied before and during two periods of pacing, the second of which was preceded by sublingual administration of glyceryl [TRINITRATE] (mean dose 0.78 mg.","0"
"1921","TWrex-treat","[MYCOSIS]","78","85","[AMPHOTERICIN]","0","12","[AMPHOTERICIN] B (AmB) is a popular drug frequently applied in the treatment of [MYCOSIS].","0"
"1922","TWrex-treat","[FUNGAL INFECTION]","13","29","[AMPHOTERICIN]","75","87","For possible [FUNGAL INFECTION]s, empiric therapy with fluconazole (FLCZ) or [AMPHOTERICIN] B (AMPH) is recommended.","0"
"1923","TWrex-treat","[CARIES]","191","197","[FLUORIDE]","97","105","Teeth treated with microabrasion followed by a 4-minute application of 1% neutral topical sodium [FLUORIDE] exhibited significantly less enamel demineralization when subjected to an artificial [CARIES] challenge than did teeth that underwent microabrasion alone, topical fluoride treatment alone, or no treatment at all.","0"
"1924","TWrex-treat","[CARIES]","191","197","[FLUORIDE]","267","275","Teeth treated with microabrasion followed by a 4-minute application of 1% neutral topical sodium fluoride exhibited significantly less enamel demineralization when subjected to an artificial [CARIES] challenge than did teeth that underwent microabrasion alone, topical [FLUORIDE] treatment alone, or no treatment at all.","0"
"1926","TWrex-treat","[AMENORRHEA]","96","106","[BROMOCRIPTINE]","0","13","[BROMOCRIPTINE] therapy was effective in 54 of 84 cases (64%), including 6 of 15 (40%) cases with [AMENORRHEA], 16 of 24 cases (67%) with anovulatory cycle, 9 of 15 cases (60%) with delayed ovulation and 23 of 30 cases (77%) with luteal phase defect.","0"
"1927","TWrex-treat","[DIABETES]","229","237","[INSULIN]","24","31","Continuous subcutaneous [INSULIN] infusion (CSII) has been compared with conventional insulin injection treatment (CIT) supplemented by self-monitoring of capillary blood glucose (SMBG) in 18 nonobese adults with insulin-dependent [DIABETES] mellitus (IDDM.","0"
"1928","TWrex-treat","[DIABETES]","229","237","[INSULIN]","84","91","Continuous subcutaneous insulin infusion (CSII) has been compared with conventional [INSULIN] injection treatment (CIT) supplemented by self-monitoring of capillary blood glucose (SMBG) in 18 nonobese adults with insulin-dependent [DIABETES] mellitus (IDDM.","0"
"1929","TWrex-treat","[DIABETES]","229","237","[INSULIN]","211","218","Continuous subcutaneous insulin infusion (CSII) has been compared with conventional insulin injection treatment (CIT) supplemented by self-monitoring of capillary blood glucose (SMBG) in 18 nonobese adults with [INSULIN]-dependent [DIABETES] mellitus (IDDM.","0"
"1930","TWrex-treat","[SYNDROME]","210","218","[OXIDE]","15","20","Inhaled nitric [OXIDE] (NO) dilates pulmonary blood vessels and has been used to reduce pulmonary vascular resistance in patients with chronic thromboembolic pulmonary hypertension and acute respiratory distress [SYNDROME].","0"
"1931","TWrex-treat","[DISORDER]","87","95","[LITHIUM]","23","30","Medications, including [LITHIUM], have demonstrated efficacy in the treatment of bipolar [DISORDER], but their molecular targets and mode of action are largely unknown.","0"
"1932","TWrex-treat","[NIDDM]","215","220","[RELEASE]","97","104","Information concerning the loss of first-phase insulin secretion, altered pulsatility of insulin [RELEASE], and enhanced proinsulin-insulin secretory ratio is discussed as it pertains to altered beta-cell function in [NIDDM].","0"
"1933","TWrex-treat","[HYPOGLYCEMIA]","196","208","[GLUCOSE]","277","284","observation of acetonuria which is always absent after hypoglycemic episodes, 2, the typical constellation of insulin concentration, free fatty acid concentration and beta-hydroxybutyrat during a [HYPOGLYCEMIA] (as found by Baker et al. 1976) and/or by simultaneous measuring of [GLUCOSE]-insulin levels under the conditions of fasting as well as of oral leucine, oral glucose and intravenous tolbutamide loading.","0"
