"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"2","TWrex-cause","[INFECTION]","28","37","[HIV]","45","48","Compared with opportunistic [INFECTION]s among [HIV]-infected adults, which are often caused by reactivation of pathogens acquired before hiv infection when host immunity was intact, opportunistic infections among children often reflect primary acquisition of the pathogen and, among children with perinatal hiv infection, infection acquired after hiv infection has been established and begun to compromise an already immature immune system.","0"
"3","TWrex-cause","[INFECTION]","28","37","[HIV]","134","137","Compared with opportunistic [INFECTION]s among hiv-infected adults, which are often caused by reactivation of pathogens acquired before [HIV] infection when host immunity was intact, opportunistic infections among children often reflect primary acquisition of the pathogen and, among children with perinatal hiv infection, infection acquired after hiv infection has been established and begun to compromise an already immature immune system.","0"
"4","TWrex-cause","[INFECTION]","28","37","[HIV]","304","307","Compared with opportunistic [INFECTION]s among hiv-infected adults, which are often caused by reactivation of pathogens acquired before hiv infection when host immunity was intact, opportunistic infections among children often reflect primary acquisition of the pathogen and, among children with perinatal [HIV] infection, infection acquired after hiv infection has been established and begun to compromise an already immature immune system.","0"
"5","TWrex-cause","[INFECTION]","28","37","[HIV]","344","347","Compared with opportunistic [INFECTION]s among hiv-infected adults, which are often caused by reactivation of pathogens acquired before hiv infection when host immunity was intact, opportunistic infections among children often reflect primary acquisition of the pathogen and, among children with perinatal hiv infection, infection acquired after [HIV] infection has been established and begun to compromise an already immature immune system.","0"
"6","TWrex-cause","[INFECTION]","138","147","[HIV]","45","48","Compared with opportunistic infections among [HIV]-infected adults, which are often caused by reactivation of pathogens acquired before hiv [INFECTION] when host immunity was intact, opportunistic infections among children often reflect primary acquisition of the pathogen and, among children with perinatal hiv infection, infection acquired after hiv infection has been established and begun to compromise an already immature immune system.","0"
"7","TWrex-cause","[INFECTION]","138","147","[HIV]","134","137","Compared with opportunistic infections among hiv-infected adults, which are often caused by reactivation of pathogens acquired before [HIV] [INFECTION] when host immunity was intact, opportunistic infections among children often reflect primary acquisition of the pathogen and, among children with perinatal hiv infection, infection acquired after hiv infection has been established and begun to compromise an already immature immune system.","0"
"8","TWrex-cause","[INFECTION]","138","147","[HIV]","304","307","Compared with opportunistic infections among hiv-infected adults, which are often caused by reactivation of pathogens acquired before hiv [INFECTION] when host immunity was intact, opportunistic infections among children often reflect primary acquisition of the pathogen and, among children with perinatal [HIV] infection, infection acquired after hiv infection has been established and begun to compromise an already immature immune system.","0"
"9","TWrex-cause","[INFECTION]","138","147","[HIV]","344","347","Compared with opportunistic infections among hiv-infected adults, which are often caused by reactivation of pathogens acquired before hiv [INFECTION] when host immunity was intact, opportunistic infections among children often reflect primary acquisition of the pathogen and, among children with perinatal hiv infection, infection acquired after [HIV] infection has been established and begun to compromise an already immature immune system.","0"
"10","TWrex-cause","[INFECTION]","193","202","[HIV]","45","48","Compared with opportunistic infections among [HIV]-infected adults, which are often caused by reactivation of pathogens acquired before hiv infection when host immunity was intact, opportunistic [INFECTION]s among children often reflect primary acquisition of the pathogen and, among children with perinatal hiv infection, infection acquired after hiv infection has been established and begun to compromise an already immature immune system.","0"
"11","TWrex-cause","[INFECTION]","193","202","[HIV]","134","137","Compared with opportunistic infections among hiv-infected adults, which are often caused by reactivation of pathogens acquired before [HIV] infection when host immunity was intact, opportunistic [INFECTION]s among children often reflect primary acquisition of the pathogen and, among children with perinatal hiv infection, infection acquired after hiv infection has been established and begun to compromise an already immature immune system.","0"
