"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"1","TWrex-cause","[WHOOPING COUGH]","11","25","[B. PERTUSSIS]","126","138","Pertussis ([WHOOPING COUGH]), a two-stage process of disease (respiratory colonization and toxin-mediated disease) is caused by [B. PERTUSSIS].","0"
"68","TWrex-cause","[ECZEMA HERPETICUM]","33","50","[VIRUS]","146","151","Kaposi's varicelliform eruption ([ECZEMA HERPETICUM]) is the name given to a distinct cutaneous eruption caused by herpes simplex and certain other [VIRUS]es that infect persons with preexisting dermatosis.","0"
"80","TWrex-cause","[INFECTION]","161","170","[EBV]","24","27","The Epstein-Barr virus ([EBV]) immediate-early protein BZLF1 is a transcriptional activator that mediates the switch between the latent and the lytic forms of ebv [INFECTION].","0"
"100","TWrex-cause","[THROMBOCYTOPENIA]","7","23","[IMMUNE THROMBOCYTOPENIC PURPURA]","65","96","Foetal [THROMBOCYTOPENIA] can be caused by maternal complications ([IMMUNE THROMBOCYTOPENIC PURPURA], neonatal alloimmune thrombocytopenia, gestational thrombocytopenia, preeclampsia, alloimmune haemolytic disease) or infectious diseases (toxoplasmosis, cytomegalovirus, rubella) or be of true foetal origin (chromosomal abnormalities, malformations, congenital thrombocytopenia, intrauterine growth retardation.","0"
"103","TWrex-cause","[THROMBOCYTOPENIA]","358","374","[IMMUNE THROMBOCYTOPENIC PURPURA]","65","96","Foetal thrombocytopenia can be caused by maternal complications ([IMMUNE THROMBOCYTOPENIC PURPURA], neonatal alloimmune thrombocytopenia, gestational thrombocytopenia, preeclampsia, alloimmune haemolytic disease) or infectious diseases (toxoplasmosis, cytomegalovirus, rubella) or be of true foetal origin (chromosomal abnormalities, malformations, congenital [THROMBOCYTOPENIA], intrauterine growth retardation.","0"
"107","TWrex-cause","[THROMBOSIS]","93","103","[APCR]","32","36","Activated protein C resistance ([APCR]) is a common cause of familial thrombophilia and venous [THROMBOSIS].","0"
"117","TWrex-cause","[CYTOMEGALOVIRUS]","98","113","[HCMV]","115","119","Cell-mediated immunity is important in maintaining the virus-host equilibrium in persistent human [CYTOMEGALOVIRUS] ([HCMV]) infection.","0"
"119","TWrex-cause","[AIDS]","169","173","[HIV]","82","85","In Japan, 1531 out of 4171 hemophiliacs (36.7%) are human immunodeficiency virus ([HIV])-infected, and up to 31 December 1991, 324 (21.2%) of these patients had developed [AIDS].","0"
"142","TWrex-cause","[INFECTION]","157","166","[VIRUS]","48","53","Positive immunohistochemical reaction for VP-1 ([VIRUS] protein) indicated that the demyelination was associated with Theiler's murine encephalomyelitis virus [INFECTION].","0"
"165","TWrex-cause","[HIV]","80","83","[VIRUS]","73","78","Understanding the distribution of microbicide and human immunodeficiency [VIRUS] ([HIV]) within the gastrointestinal tract is critical to development of rectal hiv microbicides.","0"
"178","TWrex-cause","[DISEASE]","102","109","[COWDRIA RUMINANTIUM]","51","70","Two tick-borne rickettsial pathogens of ruminants, [COWDRIA RUMINANTIUM] (causative agent of heartwater [DISEASE]) and Ehrlichia phagocytophila (causative agent of tick-borne fever), were successfully cultivated in caprine or ovine neutrophilic granulocytes.","0"
"188","TWrex-cause","[HBV]","122","125","[HEPATITIS B VIRUS]","103","120","Exclusion of liver grafts from hepatitis B core antibody (anti-HBc) positive donors to prevent de novo [HEPATITIS B VIRUS] ([HBV]) infection after liver transplantation is not feasible in areas highly endemic for hbv virus like Taiwan, where approximately 80% of adults are anti-HBc(+.","0"
"190","TWrex-cause","[CYTOMEGALOVIRUS]","6","21","[HCMV]","23","27","Human [CYTOMEGALOVIRUS] ([HCMV]) masterfully evades adaptive and innate immune responses, allowing infection to be maintained and periodically reactivated for the life of the host.","0"
"191","TWrex-cause","[HIV]","46","49","[VIRUS]","39","44","Surveillance of human immunodeficiency [VIRUS] ([HIV]) infection among women is essential for monitoring the spread of hiv over time and identifying specific populations and geographic areas in need of hiv counseling, testing, and prevention services.","0"
"212","TWrex-cause","[ATROPHY]","94","101","[SYNDROME]","207","215","Seven patients with a rare syndrome of diabetes insipidus (DI), diabetes mellitus (DM), optic [ATROPHY] (OA), neurosensory deafness (D), atony of the urinary tract, and other abnormalities (Wolfram or DIDMOAD [SYNDROME]) are reported.","0"
"229","TWrex-cause","[SARS]","58","62","[SARS-COV]","116","124","The causative agent of severe acute respiratory syndrome ([SARS]) has been identified as SARS-associated coronavirus ([SARS-COV].","0"
