"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"320","TWrex-contraindicated_drug","[THROMBOEMBOLISM]","66","81","[LEVONORGESTREL]","226","240","Four epidemiological studies showed a two-fold increase of venous [THROMBOEMBOLISM] with the use of oral contraceptives containing third generation progestins (gestodene and desogesterel, relative to second-generations product ([LEVONORGESTREL]); relative risk 3.8 per 100,000 women years in non-user women, 16 per 100,000 women years in women using levonorgestrel containing oral contraceptive) and 29 per 100,000 women years in women using gestodene containing oral contraceptive.","0"
"341","TWrex-contraindicated_drug","[INFECTION]","176","185","[DISEASE]","198","205","It is critical to exclude other diseases that can mimic multiple sclerosis, including vascular disease, spinal cord compression, vitamin B12 deficiency, central nervous system [INFECTION] (e.g., Lyme [DISEASE], syphilis), and other inflammatory conditions (e.g., sarcoidosis, systemic lupus erythematosus, Sjögren's syndrome.","0"
"344","TWrex-contraindicated_drug","[INFECTION]","176","185","[LYME DISEASE]","193","205","It is critical to exclude other diseases that can mimic multiple sclerosis, including vascular disease, spinal cord compression, vitamin B12 deficiency, central nervous system [INFECTION] (e.g., [LYME DISEASE], syphilis), and other inflammatory conditions (e.g., sarcoidosis, systemic lupus erythematosus, Sjögren's syndrome.","0"
"377","TWrex-contraindicated_drug","[PREGNANCY]","116","125","[STILBOESTROL]","91","103","The incidence of the last of these has reduced with the abandonment of diethylstilbestrol ([STILBOESTROL]) therapy in [PREGNANCY].","0"
"394","TWrex-contraindicated_drug","[DISEASE]","137","144","[DDAVP]","80","85","As far as the hemostatic prophylaxis is concerned, the use of the dermopressin ([DDAVP]), in patients with hemophilia A and von Willebrand [DISEASE], guarantees the realisation of dental practice without hemorrhagic risk.","0"
"400","TWrex-contraindicated_drug","[PREGNANCY]","27","36","[TET]","66","69","We present a case of tubal [PREGNANCY] after tubal embryo transfer ([TET]) to the contralateral fallopian tube.","0"
"407","TWrex-contraindicated_drug","[VON WILLEBRAND]","122","136","[DDAVP]","80","85","As far as the hemostatic prophylaxis is concerned, the use of the dermopressin ([DDAVP]), in patients with hemophilia A and [VON WILLEBRAND] disease, guarantees the realisation of dental practice without hemorrhagic risk.","0"
"410","TWrex-contraindicated_drug","[VON WILLEBRAND DISEASE]","122","144","[DDAVP]","80","85","As far as the hemostatic prophylaxis is concerned, the use of the dermopressin ([DDAVP]), in patients with hemophilia A and [VON WILLEBRAND DISEASE], guarantees the realisation of dental practice without hemorrhagic risk.","0"
"417","TWrex-contraindicated_drug","[PREGNANCY]","108","117","[DES]","100","103","The authors compared the incidence of breast cancer in 3033 women who had taken diethylstilbestrol ([DES]) in [PREGNANCY] during the period 1940-60 with the incidence in a comparable group of unexposed parous women.","0"
"421","TWrex-contraindicated_drug","[GESTATION]","63","72","[METHOTREXATE]","100","112","Thirty patients with unruptured ectopic pregnancy (4-10 weeks' [GESTATION]) were treated locally with [METHOTREXATE] (MTX) under sonographic guidance.","0"
"456","TWrex-contraindicated_drug","[PREGNANCY]","142","151","[PGE2]","113","117","This stduy compared the use of gemeprost 1 mg vaginal pessaries and extra-amniotic infusion of prostaglandin E2 ([PGE2]) for the termination of [PREGNANCY] in the early 2nd trimester.","0"
"502","TWrex-contraindicated_drug","[HEMOCHROMATOSIS]","130","145","[IRON]","34","38","Increasing evidence suggests that [IRON] plays an important role in tissue damage both during chronic iron overload diseases (i.e., [HEMOCHROMATOSIS]) and when, in the absence of actual tissue iron overload, iron is delocalised from specific carriers or intracellular sites (inflammation, neurodegenerative diseases, post-ischaemic reperfusion, etc.","0"
