"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"652","TWrex-diagnose","[TUBERCULOSIS]","180","192","[PPD]","93","96","The tuberculin tine (old tuberculin) and the Mantoux (stabilised purified protein derivative-[PPD]) tests were compared by using them in two simultaneous skin tests on patients with [TUBERCULOSIS].","0"
"662","TWrex-diagnose","[EPISODE]","249","256","[DEXAMETHASONE]","61","74","When sleep polygraphic variables, neuroendocrine parameters ([DEXAMETHASONE] suppression and thyrotropin-releasing hormone tests), and various clinical variables (unipolar/bipolar status, psychotic/nonpsychotic subtype, and severity of the depressive [EPISODE]) were examined, statistically significant differences between endogenous and nonendogenous patients emerged for three variables: the thyroid-stimulating hormone response to the thyrotropin-releasing hormone test, the dexamethasone suppression test response at 16:00 h, and the percentage of time awake during the night.","0"
"663","TWrex-diagnose","[EPISODE]","249","256","[DEXAMETHASONE]","474","487","When sleep polygraphic variables, neuroendocrine parameters (dexamethasone suppression and thyrotropin-releasing hormone tests), and various clinical variables (unipolar/bipolar status, psychotic/nonpsychotic subtype, and severity of the depressive [EPISODE]) were examined, statistically significant differences between endogenous and nonendogenous patients emerged for three variables: the thyroid-stimulating hormone response to the thyrotropin-releasing hormone test, the [DEXAMETHASONE] suppression test response at 16:00 h, and the percentage of time awake during the night.","0"
"669","TWrex-diagnose","[TB]","220","222","[PPD]","82","85","Whilst the intradermal injection of partially purified derivatives of tuberculin ([PPD]) represents the classic test assessing the delayed type hypersensitivity (DTH) response used in both humans and cattle for diagnosing [TB], it has been suggested that the test may modulate host CMI responses.","0"
"712","TWrex-diagnose","[TUBERCULOSIS]","52","64","[TB]","225","227","We identify early predictors of multidrug-resistant [TUBERCULOSIS] and describe improved clinical outcomes, including survival, for patients with human immunodeficiency virus (HIV)-related multidrug-resistant tuberculosis (MDR-[TB]) when they are prospectively identified and receive treatment under direct observation.","0"
"713","TWrex-diagnose","[TUBERCULOSIS]","207","219","[TB]","225","227","We identify early predictors of multidrug-resistant tuberculosis and describe improved clinical outcomes, including survival, for patients with human immunodeficiency virus (HIV)-related multidrug-resistant [TUBERCULOSIS] (MDR-[TB]) when they are prospectively identified and receive treatment under direct observation.","0"
"714","TWrex-diagnose","[TUBERCULOSIS]","44","56","[TB]","58","60","The diagnosis of bacteriologically negative [TUBERCULOSIS] ([TB]) in children is traditionally based on clinical criteria, such as a history of contact with a patient with tb, a positive tuberculin test suggesting tb infection and radiological tb changes.","0"
"721","TWrex-diagnose","[TUBERCULOSIS]","167","179","[TB]","192","194","Measurements of different cytokines and chemokines in supernatants of PMBC cultures in the presence of PPD showed increased levels of interferon (IFN)-gamma in active [TUBERCULOSIS] infection (A[TB]I) and latent tb infected (LtbI) compared to controls, and increased levels of TNF-alpha in AtbI compared with LtbI.","0"
"723","TWrex-diagnose","[TUBERCULOSIS]","167","179","[TB]","222","224","Measurements of different cytokines and chemokines in supernatants of PMBC cultures in the presence of PPD showed increased levels of interferon (IFN)-gamma in active [TUBERCULOSIS] infection (AtbI) and latent tb infected (L[TB]I) compared to controls, and increased levels of TNF-alpha in AtbI compared with LtbI.","0"
"727","TWrex-diagnose","[TUBERCULOSIS]","62","74","[TB]","76","78","Persons with AIDS (PWAs) are 100 times more likely to develop [TUBERCULOSIS] ([TB]) than the general population.","0"
