"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"1635","TWrex-symptom","[DISABILITY]","89","99","[SD]","17","19","The mean was 44 ([SD] 3.6) g/l for males and 44 (sd 3.6) g/l for females with intellectual [DISABILITY], 43 (sd 3.2) g/l in males and 44 (sd 2.6) g/l for females with cerebral palsy, 41 (sd 2.7) g/l for males and 42 (sd 3.7) g/l for females with Down's syndrome, and 42 (sd 4.5) g/l for males and 41 (sd 3.2) g/l for.","0"
"1636","TWrex-symptom","[DISABILITY]","89","99","[SD]","47","49","The mean was 44 (sd 3.6) g/l for males and 44 ([SD] 3.6) g/l for females with intellectual [DISABILITY], 43 (sd 3.2) g/l in males and 44 (sd 2.6) g/l for females with cerebral palsy, 41 (sd 2.7) g/l for males and 42 (sd 3.7) g/l for females with Down's syndrome, and 42 (sd 4.5) g/l for males and 41 (sd 3.2) g/l for.","0"
"1637","TWrex-symptom","[DISABILITY]","89","99","[SD]","105","107","The mean was 44 (sd 3.6) g/l for males and 44 (sd 3.6) g/l for females with intellectual [DISABILITY], 43 ([SD] 3.2) g/l in males and 44 (sd 2.6) g/l for females with cerebral palsy, 41 (sd 2.7) g/l for males and 42 (sd 3.7) g/l for females with Down's syndrome, and 42 (sd 4.5) g/l for males and 41 (sd 3.2) g/l for.","0"
"1638","TWrex-symptom","[DISABILITY]","89","99","[SD]","134","136","The mean was 44 (sd 3.6) g/l for males and 44 (sd 3.6) g/l for females with intellectual [DISABILITY], 43 (sd 3.2) g/l in males and 44 ([SD] 2.6) g/l for females with cerebral palsy, 41 (sd 2.7) g/l for males and 42 (sd 3.7) g/l for females with Down's syndrome, and 42 (sd 4.5) g/l for males and 41 (sd 3.2) g/l for.","0"
"1639","TWrex-symptom","[DISABILITY]","89","99","[SD]","183","185","The mean was 44 (sd 3.6) g/l for males and 44 (sd 3.6) g/l for females with intellectual [DISABILITY], 43 (sd 3.2) g/l in males and 44 (sd 2.6) g/l for females with cerebral palsy, 41 ([SD] 2.7) g/l for males and 42 (sd 3.7) g/l for females with Down's syndrome, and 42 (sd 4.5) g/l for males and 41 (sd 3.2) g/l for.","0"
"1640","TWrex-symptom","[DISABILITY]","89","99","[SD]","213","215","The mean was 44 (sd 3.6) g/l for males and 44 (sd 3.6) g/l for females with intellectual [DISABILITY], 43 (sd 3.2) g/l in males and 44 (sd 2.6) g/l for females with cerebral palsy, 41 (sd 2.7) g/l for males and 42 ([SD] 3.7) g/l for females with Down's syndrome, and 42 (sd 4.5) g/l for males and 41 (sd 3.2) g/l for.","0"
"1641","TWrex-symptom","[DISABILITY]","89","99","[SD]","267","269","The mean was 44 (sd 3.6) g/l for males and 44 (sd 3.6) g/l for females with intellectual [DISABILITY], 43 (sd 3.2) g/l in males and 44 (sd 2.6) g/l for females with cerebral palsy, 41 (sd 2.7) g/l for males and 42 (sd 3.7) g/l for females with Down's syndrome, and 42 ([SD] 4.5) g/l for males and 41 (sd 3.2) g/l for.","0"
"1642","TWrex-symptom","[DISABILITY]","89","99","[SD]","297","299","The mean was 44 (sd 3.6) g/l for males and 44 (sd 3.6) g/l for females with intellectual [DISABILITY], 43 (sd 3.2) g/l in males and 44 (sd 2.6) g/l for females with cerebral palsy, 41 (sd 2.7) g/l for males and 42 (sd 3.7) g/l for females with Down's syndrome, and 42 (sd 4.5) g/l for males and 41 ([SD] 3.2) g/l for.","0"
"1648","TWrex-symptom","[WEAKNESS]","111","119","[DMD]","29","32","Duchenne muscular dystrophy ([DMD]) is a recessive X linked genetic disorder characterised by progressive muscle [WEAKNESS] and reduced muscle tone.","0"
"1665","TWrex-symptom","[HYPERTENSION]","187","199","[BB]","23","25","Bardet-Biedl syndrome ([BB]S) is a rare developmental disorder with the cardinal features of abdominal obesity, retinopathy, polydactyly, cognitive impairment, renal and cardiac anomalies, [HYPERTENSION], and diabetes.","0"
