"index","relation-type","term1","b1","e1","term2","b2","e2","sentence","job"
"1925","TWrex-treat","[AIDS]","99","103","[ZIDOVUDINE]","45","55","At present, 3'-azido-3'-deoxythymidine (AZT; [ZIDOVUDINE]) remains the drug of choice for initiating [AIDS] therapy.","0"
"1937","TWrex-treat","[VENOUS THROMBOSIS]","62","79","[STREPTOKINASE]","99","112","A total of 25 patients (7 with arterial occlusion and 18 with [VENOUS THROMBOSIS]) were treated with [STREPTOKINASE] for 72 hours, followed by heparin for 24 hours.","0"
"1954","TWrex-treat","[IDDM]","150","154","[INSULIN]","113","120","This review presents the major animal models usually used for the study of the pathological processes related to [INSULIN]-dependent diabetes mellitus ([IDDM]), non-insulin-dependent diabetes mellitus (Niddm) and to the main diabetic complications.","0"
"1955","TWrex-treat","[IDDM]","150","154","[INSULIN]","161","168","This review presents the major animal models usually used for the study of the pathological processes related to insulin-dependent diabetes mellitus ([IDDM]), non-[INSULIN]-dependent diabetes mellitus (Niddm) and to the main diabetic complications.","0"
"1956","TWrex-treat","[IDDM]","199","203","[INSULIN]","113","120","This review presents the major animal models usually used for the study of the pathological processes related to [INSULIN]-dependent diabetes mellitus (iddm), non-insulin-dependent diabetes mellitus (N[IDDM]) and to the main diabetic complications.","0"
"1957","TWrex-treat","[IDDM]","199","203","[INSULIN]","161","168","This review presents the major animal models usually used for the study of the pathological processes related to insulin-dependent diabetes mellitus (iddm), non-[INSULIN]-dependent diabetes mellitus (N[IDDM]) and to the main diabetic complications.","0"
"1976","TWrex-treat","[UTIS]","169","173","[SULFAMETHOXAZOLE]","0","16","[SULFAMETHOXAZOLE]/trimethoprim (SMX/TMP) and nitrofurantoin are the most frequently used agents for prophylaxis to reduce the risk of recurrent urinary tract infections ([UTIS]) in children with vesicoureteral reflux (VUR.","0"
"1989","TWrex-treat","[PULMONARY EMBOLISM]","325","343","[HEPARIN]","37","44","We studied the course of F1+2, aPTT, [HEPARIN] doses administered and heparin concentrations, as well as prothrombin time, during the first 7 days of heparin therapy (target aPTT 70 s) and overlapping oral anticoagulation (target INR 2-3) in 26 patients routinely treated for deep venous thrombosis (deep venous thrombosis +/- [PULMONARY EMBOLISM], 23 patients) or pulmonary embolism with a history of recurring deep venous thrombosis (3 patients.","0"
"1990","TWrex-treat","[PULMONARY EMBOLISM]","325","343","[HEPARIN]","68","75","We studied the course of F1+2, aPTT, heparin doses administered and [HEPARIN] concentrations, as well as prothrombin time, during the first 7 days of heparin therapy (target aPTT 70 s) and overlapping oral anticoagulation (target INR 2-3) in 26 patients routinely treated for deep venous thrombosis (deep venous thrombosis +/- [PULMONARY EMBOLISM], 23 patients) or pulmonary embolism with a history of recurring deep venous thrombosis (3 patients.","0"
"1991","TWrex-treat","[PULMONARY EMBOLISM]","325","343","[HEPARIN]","148","155","We studied the course of F1+2, aPTT, heparin doses administered and heparin concentrations, as well as prothrombin time, during the first 7 days of [HEPARIN] therapy (target aPTT 70 s) and overlapping oral anticoagulation (target INR 2-3) in 26 patients routinely treated for deep venous thrombosis (deep venous thrombosis +/- [PULMONARY EMBOLISM], 23 patients) or pulmonary embolism with a history of recurring deep venous thrombosis (3 patients.","0"
"2031","TWrex-treat","[MYELOMA]","65","72","[IFN]","18","21","Interferon-alpha ([IFN]-alpha) is used as a treatment for multiple [MYELOMA], although its clinical effects remain controversial.","0"
"2056","TWrex-treat","[HYPERTENSION]","234","246","[VERAPAMIL]","88","97","The antihypertensive effects of the regular immediate release formulation of verapamil ([VERAPAMIL] IR) and the newer sustained release formulation of verapamil (verapamil SR) were compared in Hispanic patients with untreated essential [HYPERTENSION].","0"
